id;comment;label
1462480_1;Inserting timestamps automagically would be bad because it would limit a whole swath of use cases.;negative
1471209_2;If they do then Suse's cpio works for old ascii but the -c switch is broken.;negative
150393_2;This is pretty embarassing!;negative
1524565_2;When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo.;negative
1537069_6;That being said, I'm not totally opposed to making the limit configurable.;negative
1547189_1;My bad, I screwed up the assertion -> RuntimeException transition.;negative
1550511_1;Well, that sucks.;negative
1553094_6;No, it's not off the table, but it's moot unless we decide we want cqlsh in-tree at all.;negative
155457_1;Ok here is a patch that works. I was stupid enough not to see it...;negative
156058_1;It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.;negative
1564457_4;All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen.;negative
1569844_1;Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS...   Did you just tell me to go fuck myself?;negative
1573478_1;+1 (damn intellij, it's not like patch format hasn't been standard for years);negative
1575813_1;Wow, it's like Thrift is going out of their way to make life suck for us this month.;negative
1629017_7;Here is quite bad.;negative
1647287_1;" The samples you gave are different.";negative
1676234_1;"I just noticed your public tweet...  bq. ""@wilhelmbierbaum True. Fuck the Avro C API."" ";negative
1686065_2;if so, can you see if you can git bisect this bad boy?;negative
1687818_1;It seems some of the wrappers in ink_hrtime.h() might no longer be used either, e.g. ink_gettimeofday() is never used, so lets get rid of that shit.;negative
1690651_1;Heh, that's one hell of a bug, 275 bytes exactly, eh?;negative
1769700_1;What a stupid name I chose for that object... )-:;negative
1778787_2;I think it's time to just close this issue.;negative
1778787_4;"I'm not entering bogus reports for the hell of it ;)  Matt";negative
1805685_2;I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!;negative
1808616_1;Stupid Maven;negative
1816305_1;Ok. Stupid user Error here.;negative
1816305_2;Converted from a single FlatFileItemWriter to a database and flatfileitemwriter and didn't register the flatfile one as a stream.;neutral
1816305_3;If using a single FlatFileItemWriter it is enough to register it as an ItemWriter however when using the composite the adding it as a stream is also needed.;neutral
1832159_1;Why the hell do they deliver Duration, if they cannot instantiate it :-/;negative
1858018_1;The defect  from hell 666, be scared..;negative
193462_1;This really sucks!;negative
1990074_1;Why the hell is this not a bug?;negative
1990074_4;I'm confused...;neutral
2014921_2;What the hell are you waiting for ?;negative
2024396_1;you can't reopen stuff fixed in the past without upsetting JIRA.;neutral
2059085_3;I've fixed that locally and am doing a full build, but I'm going to build a test case to duplicate the error and then verify my proposed fix corrects it.;neutral
2059085_4;I suspect it has nothing to do with the file system connector or Infinispan connectors, and is simply a (stupid) mistake in the federated join processor.;negative
2077144_1;I'm an idiot.;negative
2077144_2;The Cenqua licensing section doesn't have a license like this, but the Clover licensing section does have a link to one.;neutral
2085431_2;It really sucks that there is now way currently to include transitive dependencies.;negative
2096621_2;I'm an idiot... there's nothing wrong with the readme.txt.;negative
2120525_1;Crap, forgot to verify that this is inconsistant with MRI, it's not.;negative
2120525_2;Please close as this is just me being stupid.;negative
2124917_1;Holy hell, I think I found one problem with turning a bignum into anything else.;negative
2127189_2;This sucks *so much*...;negative
2132048_1;Damn, I would close this out from the fix to JBSEAM-3742, except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.;negative
2132543_1;*Damn*, I forgot.;negative
2148299_4;Also, your username was stupidly named and confusing, so I deleted it and created a new one more appropriate.;negative
2153268_1;Damn, it seemed it didn't work.;negative
2162609_1;It sucks to lose the code readability, but it seems like a reasonable price to pay.;negative
2181040_1;I don't have to ensure that the classloader knows groovy classes, *you* must do that.;negative
2181040_11;And debugging is hell, because the test environment needs to have the exact same loader setup.;negative
2194394_1;who the hell starts using our jira for typing lessons ?!?;negative
2259612_1;fuck u;negative
2263196_1;Hell, this is gonna take me a lot of work to raise.;negative
2264018_2;That irritated the hell out of me too, but I didn't realise it was configurable in the .launch file.;negative
2268304_1;This sucks badly.;negative
2268304_2;Why on earth does createLink() need a request?;negative
2350557_2;Finally closing this bug from hell.;negative
238731_3;I sure as hell don't want to start attaching models for the sake of detaching them directly afterwards.;negative
2470534_1;That sucks, why isn't the escape mechanism working?;negative
2495101_1;I am an idiot - this was a dupe of GUVNOR-84;negative
286246_5;That is really confusing.;neutral
291420_1;Sun RI sucks, why the hell is saveState() and restoreState() not called with with javax.faces.STATE_SAVING_METHOD = server???;negative
305224_1;Swear to god, I'm not a total idiot.;negative
306519_2;I don't know how the hell my diff program decided to add seemingly random CR chars, but I've removed them now.;negative
313850_1;durrrh, that sucks.;negative
320617_4;Im stuck with IE6 unfortunately.;negative
334916_1;What the hell, I'll give this a shot.;negative
349776_1;"{quote} searcher.getAtomicReader().getSortedDocValues(uniqueKey); {quote}  This is a performance killer.";negative
350972_1;As far as the query shit, i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread().setName(x) or whatever (and maybe restore after);negative
353052_1;"BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow). ";negative
362807_1;Hmm, that sucks.;negative
366961_1;tricky shit man! I think I found the issue!;negative
367179_1;"Oh man ... it's a fucking precendence problem. ";negative
367677_1;Ugh, well that sucks.;negative
367902_5;I didn't know we needed to retain backwards config capability across 3.x to 4.x  :-(  That sucks and it'll make old code stick around longer.;negative
369884_1;bq. this is solr's fault by having a getter that does some heavy duty xml shit.;negative
369884_2;That sounds like some serious buck passing.;negative
371904_4;This whole thing is very distressing to me.;negative
371904_5;I think we all know it just sucks.;negative
373905_1;though I disagree with a signficant amount of statements you made,I don't think we would ever come to agreement anyway.;negative
389297_3;" that's some freaky shit ...";negative
389548_1;i could have sworn i clicked the other radio button;neutral
455767_4;I think you made mistakes in ivy.xml.;negative
496044_12;This is where it gets confusing.;negative
540214_1;If I can give you one advice on this one, I'd say this: fuck Derby, use H2 instead as the default embedded database.;negative
571429_1;What the hell?!;negative
571429_3;(Do nothing): Are you serious about that?;negative
579540_1;"@Oleg, please accept that my ""logical"" is different from your ""logical"".";negative
579540_3;So, I'm fine with your logic, but given that I don't understand it please don't get upset when I ask questions on how I have to use it.;negative
652217_2;This was my bad.;negative
653331_5;The rest are *totally* unrelated.;negative
653758_1;Oh fuck :-) Sorry. Not my day, more beer needed!;negative
654180_1;"Sorry, I guess I'm against ""never computing this shit""... because you guys think returning NaN is ok. ";negative
654180_4;" if you want to make these optimizations, fix the APIs so its intuitive, otherwise, no way.";negative
654182_1;"who the fuck is asking for scores, but not the max score, and why does their insanely specialized use case justify all these booleans on a central lucene class. ";negative
654611_1;I don't care about code duplication here.;negative
654611_2;" We should not invoke the global synced fieldnumbers shit for every element, only when the setting actually changes";negative
658580_1;I disagree... and I guess I'm willing to go to bat for this.;negative
660380_1;HOLY SHIT!;negative
663657_2;" I think the comments here are a bad sign... I sent us down an unfortunate slippery slope  we are a search engine library!  don't put shit in the index directory! or we will delete your shit. dead simple.";negative
681152_1;I wholeheartedly agree this API is confusing as hell.;negative
681152_2;Not only it's the first one in my life I'm seeing multiple ways of closing the same thing, it also conceals programming errors.;negative
684394_2;Sucks to rush a commit when an issue is under discussion.;negative
684394_4;I'm against such heavy committing myself, without some consensus to do so.;negative
697159_2;I'm confused.;negative
711427_1;> I hated that aspect of working for commercial companies.;negative
714376_1;Of course it is.;neutral
729706_1;My bad.;negative
729706_1;My bad.;negative
781197_1;Igor is an idiot, and we *do* need gmake.;negative
798939_1;Shit, I missed a cast.;negative
801851_3;But, even if it wasn't it would be totally worthless where it is at.;negative
810778_7;This is clearly bad webserver behaviour.;negative
827981_2;Forget what I made(D8067).;negative
890057_1;PreCommit-HDFS-Build is stuck.;negative
911333_5;I am slightly confused by the above.;neutral
940145_6;So, it is stuck somewhere.;negative
949738_3;I don't want one-offs like this to become lost and forgotten.;negative
973402_1;But now that I think about it, it may crap out when coming back to read even on a recovered file.;negative
987223_1;@Matt... I'm an idiot, I used the wrong patch. Sigh.;negative
1796476_2;I'm however very interested in this feature as it is essential to me.;negative
369884_1;bq. this is solr's fault by having a getter that does some heavy duty xml shit.;negative
1459734_1;Holy complicated-as-shit-algorithm, Batman!  The complexity of our implementation vs the complexity of what we're actually doing is starting to worry me here.;negative
1553771_1;It also happens at the very startup after he has loaded only 3 sstables (hence DataTracker likely have 3 sstables, not a shit load).;negative
630936_1;Shit, my bad. The posted patch is from a completely wrong branch of my git repo - I had not realized I ran the test-patch against a branch not branch-1.;negative
369034_1;" (In this particular case, Hoss clearly intended to use the no-no word as an intensifier, and not to stir shit.)";negative
711843_6;Maybe only one of us should play lawyer and the other one play engineer.;negative
711843_7;" I used to be the latter, but then I went to law school and got a degree in this shit. ";negative
711843_8;"Then, to make matters worse, since the mid-1990's I've been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I'm an amateur.  ";negative
711843_9;"Someone, but I'm not sure who, owes me a public apology here.  /Larry  ";negative
1340869_1;"Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".";negative
1659098_1;that's bad Content-Type from gSOAP.;negative
1019716_2;Pull it back in if you think different.;negative
659090_1;Hmm ... this is quite bad.;negative
1014870_9;You are messing down deep below hbase in dfs.;negative
479640_1;Damn it, sry lost the orientation.;negative
878663_1;Oh, my stupid:);negative
795658_1;oh ...geez I'm an idiot.;negative
1460620_5;@jira - I wish you didn't suck so much.;negative
379645_2;Indeed that would be VERY bad design.;negative
1097157_2;My bad.;negative
1107226_2;(How bad is this?;negative
602431_1;I'm confused.;negative
643868_1;This is pretty trivial.;negative
491593_1;Of course, it could...  :-)  DOH!;negative
1462478_4;"Then you're pretty well screwed. ";negative
1604604_2;Damn, Chuck is scary.;negative
1078935_1;This is bad.;negative
1574716_1;Well, that sucks.;negative
168182_1;Bad memory.;negative
1490674_1;"The state stuck at ""Allocated state"", It is a dup of 3788.";negative
422120_1;This is a pretty awful bug.;negative
614890_1;Replaced patch with fix to catch more bad variables;negative
923961_29;Does this suck?;negative
377662_2;Of course, StrFieldSource is a private class  No it's not.;negative
343003_3;CSS is really confusing sometimes.;negative
1508156_3;Django is a fullstack framework, Click is not.;negative
726311_1;My bad.;negative
623142_2;Credit, of course, goes to Dick.;negative
1142125_2;It seems really confusing.;negative
300170_4;+1 for this: my bad.;negative
760720_2;Hell or high water.;negative
653972_4;-1 to jar hell.;negative
1575811_3;That would suck.;negative
339681_3;If so, a test that succeeds with errors is confusing as hell...;negative
664416_18;If the different segments are somewhat homogeneous then these stats should pretty much be very close anyway.;negative
1113225_2;This is pretty trivial, just adds three asserts to TestPath#testNormalize.;negative
807936_2;I doubt that Squid is so bad at it.;negative
1005556_7;It's not too bad once CacheConfig is in.;negative
1575380_2;Not too bad though, since clearing out commitlog segments is easily done.;negative
371246_1;ah - my bad.;negative
775669_1;My bad, had a typo in the subscription e-mail.;negative
1583248_1;My bad.;negative
1324230_1;Yep, my bad.;negative
1020769_2;Pull it back in if you think different.;negative
1197428_8;Tabs are evil.;negative
494695_12;I looked at our distributed pom.xml and they're pretty obscure.;negative
614577_3;once per every bad disk).;negative
645729_8;"Hell, UnaryFunction might even be faster than all of these calls in a row. ";negative
695744_3;This was very bad documented.;negative
363937_1;Damn.;negative
1025372_2;Pull it back in if you think different.;negative
679938_5;Ie, both at are bad.;negative
313850_1;durrrh, that sucks.;negative
1342154_2;My bad.;negative
797123_1;I'm an idiot.;negative
360997_3;Splitting an existing sub-shard gets stuck up.;negative
370394_4;This is bad.;negative
1341264_1;Oopps, bad move !;negative
227345_1;the recommendation in the wiki is bad.;negative
455423_1;My bad.;negative
709675_2;"I'm starting to think of ""DLL Hell.""";negative
1343458_2;"#NAME?";negative
1037111_1;Fix bad patch;negative
1446418_1;Logger on top of Log4J and its abstract base class for supporting other frameworks.;negative
1216454_2;My bad.;negative
1544868_5;Well, either you query the database every damn time, and your plugin/tool/code will be super slow.;negative
1564458_9;Damn it.;negative
1117164_1;"Hudson seems to be stuck on this. ";negative
1184606_2;My bad...;negative
1015575_79;which is silly -- bad package encapsulation).;negative
807104_2;My bad.;negative
1090110_1;Oops, had a bad comparator in the TestCLI config.;negative
697280_4;My bad.;negative
1600589_7;The food is very bad.;negative
787029_1;"<gmcdonald> , my bad ";negative
1166447_1;My bad.;negative
1570960_2;My bad.;negative
1017759_2;Pull it back in if you think different.;negative
756748_2;Aaarrggh, how stupid of mine  to have a System.out, again!;negative
645729_8;"Hell, UnaryFunction might even be faster than all of these calls in a row. ";negative
484844_2;I always get the same stupid error.;negative
807104_1;Damn maven!;negative
360160_1;I don't care if everything is pretty or not, but we should at least support basic admin functionality in IE IMO (though I have not used it for years for just about anything).;negative
1340592_1;I've looked at what can be done within the NSIS framework we use to build the Windows installer.;negative
816440_11;A feature with wrong functionality is as bad as, if not worse than, a bad performance.;negative
1480433_1;Doh!;negative
693227_1;Doh.;negative
206512_1;Sounds weird to me... Could you package a (totally!);negative
376155_4;Am I doing something stupid here?;negative
1570651_1;* Replaced TreeMap with an Array of final 'Segment' objects ** (now very slightly faster than trunk) * Rebased for trunk * Removed the patch renaming SSTableReaderTest to SegmentedFileTest  I didn't remove the builder pattern, because the alternative seems pretty ugly (copying the segments array for every append).;negative
1143627_10;HADOOP-2949:  - If tarball is specified, HOD no longer validates for the pkgs directory in gridservice-hdfs or mapred sections as these are not going to be used anyway.;negative
798023_3;It must be lost somewhere.;negative
235183_3;Too bad we can't use position:fixed in IE6.;negative
189473_1;I think the correct resolution is to ensure that the prefix stack mechanism  gets reset each time the XMLReader is used.;negative
716082_59;This is always a really bad way to design software.;negative
734585_7;It may suck, but at least *I* won't be the one bringing in a dumb dependency to a logging library.;negative
689700_12;How on earth is it buggy?;negative
819338_5;"I didn't do that because that seems bad in hive, so I returned ""null"" from the operation.";negative
715083_3;This sucks.;negative
331800_3;They don't vote, they whine that something (or everything) sucks.;negative
390380_1;Damn dyslexia!;negative
1352960_2;Damn it !;negative
1014736_5;Doing it at the hackathon you'd have a few fellas at your shoulder to give you pointers should you get stuck.;negative
726608_1;Ah, that was my bad.;negative
633319_5;My bad.;negative
1447251_2;it's my bad.;negative
1117213_2;My bad!;negative
700813_1;Ah, too bad.;negative
1604604_2;Damn, Chuck is scary.;negative
1629017_7;Here is quite bad.;negative
1166113_3;This name gets confusing with all of our prenamed *Worker* and *Master* classes.;negative
1323405_2;* release of the framework.;negative
932777_1;I'm a pretty strong -0 on this.;negative
1036745_4;"Not pretty. ";negative
1456574_2;That's pretty unlikely.;negative
1142601_1;Pretty much everything that FSNamesystem (ie.;negative
1446136_2;Kind of sucks.;negative
822155_2;Since this patch is so damn large already I won't be making anymore changes to this other than critical/blocker bug fixes.;negative
706069_21;But please don't say that my reasoning is bad - because it is not.;negative
689231_5;> We can't let fear of back-compat prevent us from making progress.;negative
1675227_2;I really don't care.;negative
1154490_1;I am planning to use this framework for some new RPCs I am adding.;negative
986179_2;Don't hate me, just throwing this out there.;negative
1110767_1;Weird.;negative
1342087_1;This is weird.;negative
794990_2;Gav...(Hoping I'm not teaching you how to suck eggs :) );negative
1029356_4;For those of us who don't care about ivy in fact lose something - a easy to build hbase.;negative
685936_2;Where on earth are you anyway?;negative
398365_2;My bad.;negative
1151657_1;My bad, this is already done.;negative
1442549_8;That is bad.;negative
1687237_4;Filling diags.log is bad mojo, since it's never rotated.;negative
654312_16;How bad is it?;negative
935305_2;My bad.;negative
921646_4;My bad.;negative
289511_5;Bad IE.;negative
289511_6;"Bad. ";negative
1020231_2;Pull it back in if you think different.;negative
741317_1;Stupid user error :);negative
1461162_1;Weird.;negative
1534996_1;That's weird.;negative
1442119_6;Actually I don't want to specify the encoding, because I don't care how the data is transported to me.;negative
667138_2;"And boy, hell broke loose ;)  So... the biggest issue I'm facing is indeed with Random sharing across threads.";negative
215355_1;I don't care what we do as long as we don't change the attributes in JSP significantly.;negative
1582964_1;The Async API in http client 4.x really sucks.;negative
1199024_1;" Forget the patch for the moment.";negative
1023195_2;I'll just put fix in under this issue.;negative
1661472_1;Please forget last comment, it is incorrect.;negative
686625_1;umm ... call me crazy, but why are we making this public?;negative
1082705_1;[~cmccabe]: oh, hell no!;negative
1342186_1;Damn...;negative
1158826_1;I'd say to hell with windows minority :);negative
902952_10;Because, we don't care for this in cases where we there is no node that is down.;negative
766334_3;The eclipse ui was completly stuck, which was similiar to the other experinces.;negative
935305_2;My bad.;negative
1208484_1;Juhani..my bad, i was mistaken.;negative
740627_1;My Bad.;negative
882308_2;That's my bad.;negative
1148854_7;Seeking back is pretty inefficient in DFS.;negative
1140339_1;Doh!;negative
1120812_1;Hudson is stuck.;negative
182375_8;Weird.;negative
1527929_2;Weird.;negative
942516_1;That's weird.;negative
748115_2;If that would be the case, this would be bad design.;negative
676102_5;This just seems really evil.;negative
866657_4;It may cause conflicts, but if your intent is to break system security, you probably don't care.;negative
239501_1;My bad, uploaded the wrong patch.;negative
1625109_6;"I just hate having no clue what a file is really depending on ;) ";negative
344525_1;Ah, damn, I thought it was fixed :/  Guillaume ?;negative
376790_18;I abbreviated the heck out of my arguments and thinking, but damn it thats what I think :);negative
769631_1;A stupid bug in a patch that is already applied.;negative
1039334_6;In this case, data would pretty much just silently be lost.;negative
802486_5;This whole thing is really pretty trivial.;negative
1467851_3;An output connector should also have a say in what URLs it will accept.;negative
1542045_1;"Turning off hints is basically intended as a ""oh shit, something is broken with hints, let's turn it off"" switch.";negative
778795_1;why on earth would it match anything, you have not even touched the Apache install.;negative
291420_4;"Anyway, created a patch ...  ";neutral
349845_1;Ah, HA!;neutral
1001112_3;or a log message?;neutral
1015425_2;Until there is a general mechanism Hbase should do something.;neutral
1027272_2;but there is no such limitation in the consistent algorithm behind ZK.;neutral
1041633_1;It will be taken care as part of HADOOP-7642.;neutral
1060024_1;The contribution archive.;neutral
1078380_3;What is convenient for the user to download two archives to run the project (or install maven)?;neutral
1078380_5;+1 for the docs in the SRC though.;neutral
1078538_1;Okay Edward, you haven't understood how it works.;neutral
1078538_2;Maybe you know it better when I show you some code.;neutral
1078538_4;If you want to have a binary sequencefile format, then do this.;neutral
1078538_7;What if you want to change this binary format?;neutral
1078538_8;Do you want to recreate every file on the whole planet?;neutral
1078538_9;You must take care about versioning then, and that is because we need a proxy between the inputformat and our vertex API.;neutral
1082300_3;Contributed by Vinay.;neutral
1085921_3;Previously we are mainly focus on trunk failures.;neutral
1093469_1;Yea, I think it would be worth distinguishing between the reasons.;neutral
1099350_3;Gimme a few mins to clean this up properly.;neutral
1108919_2;Is the -put command returning non-0 to indicate failure?;neutral
1116947_3;Is it by mistake?;neutral
1142303_3;We should be assigning atleast 50% of it's capacity.;neutral
1147213_3;pread I mentioned is FSInputStrea.read(long, buf, offset, len).;neutral
1152961_8;multiple pread invocations hitting contiguous byte ranges is quite tricky.;neutral
1182528_2;I would have hopped that the URI(String) constructor would have decoded things properly (or encoded them as it happens to be here).;neutral
1191462_1;Continue with stupid questions :)  Who is sponsor and mentor of project?;neutral
1191462_2;So, who should create mail lists, bug databases, etc.;neutral
1194208_1;Fixed bug of <hr />, the siteinfo is always after the rest of the page now.;neutral
1197613_1;batch transition to closed for remaining resolved bugs;neutral
1198478_1;Hi Vincent,  I wasn't aware of that.;neutral
1203586_5;"We are all different"" Crowd ""I'm not"" Dissenter Monty Python's Life of Brian ";neutral
1217410_2;"Turns out that Ubuntu dropped 32 bit support for 'whatever' in 12.04 and now you need to run ""sudo apt-get install ia32-libs"" in order to get older executables to run.";neutral
1217410_3;I wonder why not so many people use Linux?;neutral
1258790_1;On 2009-06-08 19:22:03.496 kjian commented: Localization data error.;neutral
1258790_2;On 2009-06-08 19:22:40.967 kjian commented: Localization issue.;neutral
1260661_3;Will close this as a dup.;neutral
1289367_18;[rvollmar 3/27/07] There are two bugs that are causing backwards compatibility issues, and I think the emails we've been exchanging have confused them.;neutral
1326110_2;First, an attempt is made to convert       * each argument.;neutral
132669_3;It is better to express such things in Java, or in a query language that is designed for that.;neutral
132669_4;Why would I want to use XML, when i can use the QBC API, or HQL (HQL can be embedded in the XML, remember), to express this stuff much more naturally?;neutral
132669_5;"In addition, in the longterm we will all most likely be using annotations, and the ""fetch group"" notion does *not* work with annotations.";neutral
1328594_8;It's generally pretty straightforward, but extensibility is not quite clear.;neutral
1342186_2;I have changed one test to see what will happend if I set the pwdIdle to b > 0, and the test passes.;neutral
1342186_3;What exactly is your configuration ?;neutral
1342658_2;The more I think about the issue, the more I find it critical.;neutral
1342658_3;If we remove an entry while someone is doing a search, the search will fail.;neutral
1342658_4;Also we have some problem during replication, just when we try to replicate some deletion, and it might prefectly explain why we get those issues.;neutral
1345883_3;(Ok, as expected ...)  Waiting for a better log, when you will have installed a new server build from 1.0-trunks, then.;neutral
1345883_4;What you can do is trying this request with a different browser when the server is suppose to hang, and also try to do another request when the serveur is supposed to be hang to see if it's not a pb with the PDU length ( what I suspect is that when trying to decode this request, the decoder is waiting for more bytes so wait ad vitam aeternam ...) I gonna try to implement the decoding of this PDU as a test case just to check.;neutral
1346179_3;The search result entry requests does not return the correct DN, because it use the internal representation (byte[]) instead of using the user provided value, which contains escaped values.;neutral
1346179_4;Here, we have two options : 1) work with the internal value, but escape all the special chars 2) work with the stored UP value.;neutral
1346179_5;I think the bnest solution is (2), because the UP value is supposed to be valid - it has successfully been parsed when the first request arrived -.;neutral
1346179_6;This will impact two parts : - searchResultEntry - all the response that contains a LdapResult and which returns a MatchedDN.;neutral
1346179_7;I already have a fix for the first request, but the question is : which version will integrate this modification ?;neutral
1346179_8;any suggestion ?;neutral
1348495_2;I just applied the patch, ran tests.;neutral
1351574_3;Then you might switch filter chains to ?;neutral
1360146_7;However, I don't see any failures.;neutral
137361_1;Thanks!;positive
137361_3;We need a proper JUnit test for this!;neutral
1398581_6;I think we are very close too.;positive
1398734_1;Thanks for reviewing the patch Mamta!;neutral
1398734_2;I've been trying to test a patched build with ibm 1.5. on iseries, but have run into trouble: - OOM with suites.All.;neutral
1398734_3;I've been running with -Xmx1024M -Xms1024M before and that worked in the past...Not sure what's going on now.;negative
1398734_4;A second run (with 2048M) only got worse (sooner) OOM behavior and after that I had trouble getting rid of my processes - apparent hang with derbyall:lang/wisconsin.java.;neutral
1398734_6;On rerun I let it go for 20 mins, but apart from the database getting booted (derby.log) nothing at all showed up in any of the output files (i.e.;neutral
1398734_7;.tmp was empty).;neutral
1398734_8;During the 10.5.1.1 test cycle this test took about 5 mins (and passed).;neutral
1398734_9;So, the original problem appears addressed (as I said, the 3 failing tests now pass), but I will investigate these behaviors, and run on another type of machine just to be safe.;neutral
1399944_7;I think I prefer this approach.;neutral
1411398_1;I remember that rule for line breaking in Japanese was very different from that of English.;neutral
1411398_2;In English sentence there exists space between words and that space tells where the line can be breaked.;neutral
1411398_3;However, Japanese sentence does not have such a useful space between words.;neutral
1411398_4;As I knows, only punctuation tells where the line can *not* be breaked.;neutral
1411398_6;This may be well known problem in i18n in typography ....;neutral
1417110_1;Can this be closed?;neutral
1422617_2;derbynetmats had no failures.;neutral
1423346_2;I too am concerned about the  DRDA 255 byte character string limit.;negative
1424522_1;You can close this out.;neutral
1429235_2;plz fix it properly till tomorrow Ort I'll close this for 0.4 again.;neutral
1429746_1;What was the outcome of the discussion?;neutral
1429746_2;Afair we settled on not implementing this as logging is hell anyway and we do not like to introduce just another logging framework.;neutral
1429746_3;Also we would need to handle Serialisation which is _only_ implementable in a performant way if you know the underlying logging framework.;neutral
1434006_2;I almost forgot, as I received the email notification on the weekend.;negative
1444585_1;Holy crap that worked!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;positive
1459591_2;I'll open one now so I don't forget.;neutral
1460757_2;Think you could make a failing test case and/or patch to show the behaviour?;neutral
1462558_7;But I could join them.;neutral
1488789_1;For VMware, we noticed that there are several places requiring cleanup of staging storage object, which requires a generic approach to thoroughly fix them, and cannot make it in 4.2.0.;neutral
1524006_1;OK, this solution sucks, and since people are relying on these scripts instead of using tools like ant, we need to give them the ability to upgrade these tools without having to create a new project.;neutral
1524006_2;"Any ideas? ";neutral
1539694_6;I think SSTableDeletingTask is a good spot, I just wasn't sure if that would be appropriate.;positive
1541857_1;Why is it unsafe to share filter in SelectStatement for NQF?;neutral
1550511_2;Looks like you need to report this to the high-scale-lib project.;neutral
1564457_1;Nice try :-)  I was Mr I dont believe in magic from the very beginning.;positive
1564457_2;I thought that there are some common cases like tail and head caching or exclusion of columns that could be implemented.;neutral
1564457_3;But never mind - maybe the proposed cache is all greatness.;neutral
1564457_5;So to prevent a rude awakening for some users it might be cool to provide some means (config or whatever) that works similar as the current version.;neutral
1564457_6;Or at least schedule this for a release which allows for a downgrade.;neutral
1567293_3;Gotta show off the shinies first, of course.;neutral
1572610_3;So we convert Scanner back into an Iterator over a lazily fetched Slice subclass?;neutral
1578235_1;Disagree.;neutral
1588978_10;For *all* this protocols/endpoints, Camel already offer consumers.;neutral
1598805_1;Closing all 1.6.0 issues;neutral
1617796_8;I'm very, very keen on preserving backwards compatibility.;neutral
1628616_1;The Calculator sample now works with SimpleAxisServer.;neutral
1642698_1;Is there any documentation how to use axis2-wsdl2code-maven-plugin, with jibx binding, and how on hell you define  xmlns:tns from you binding file;neutral
1646110_4;Do you think you can make us a minimal test case which demonstrates the problem?;neutral
1658506_2;Please close AXIS-2271 if that patch is taken.;neutral
1660328_9;Are we on the good path...;positive
1710387_1;hi Dan!!;positive
1718151_1;Wow, sure!;positive
1729265_5;"This practice in general seems really confusing to me, this bug is refed in the 1.5.0 release notes tagged in svn. ";neutral
1729498_1;I think all properties and permissions should be maintained.;neutral
1778787_1;Well I'm not sure what was happening, but I just upgraded to Spring 1.2 final and this issue does not happen anymore.;neutral
1778787_3;It really *did* happen in an earlier version though....;neutral
